Company,BusinessUnit,Country,State,City,RegionLabel,LocationName,LocationType,SourceKind,SourceUrl,SourceRetrievedOn,ActivePostingCount,IsFeatured,Notes
RTX,Raytheon,US,AZ,Tucson,,Raytheon Tucson,careers_location,official_location_page,"https://careers.rtx.com/global/en/raytheon-tucson%2C-az-location",2026-07-10,,Y,"Official Raytheon careers location page; Raytheon software engineering page also lists Tucson, AZ as a hiring location."
RTX,Raytheon,US,MA,Andover,,Raytheon Andover,careers_location,official_location_page,"https://careers.rtx.com/global/en/raytheon-andover%2C-ma-location",2026-07-10,,Y,"Official Raytheon careers location page; site tour describes Andover as a 1.7 million-square-foot production site."
RTX,Raytheon,US,CO,Aurora,,Raytheon Aurora,careers_location,official_location_page,"https://careers.rtx.com/global/en/raytheon-aurora-co-location",2026-07-10,,Y,"Official Raytheon careers location page; site tour describes Aurora work on satellite and space systems."
RTX,Raytheon,US,CA,El Segundo,,Raytheon El Segundo,careers_location,official_location_page,"https://careers.rtx.com/global/en/raytheon-el-segundo-ca-location",2026-07-10,,Y,"Official Raytheon careers location page; site tour describes El Segundo as a space and airborne systems location."
RTX,Raytheon,US,MS,Forest,,Raytheon Forest,careers_location,official_location_page,"https://careers.rtx.com/global/en/raytheon-forest-ms-location",2026-07-10,,Y,"Official Raytheon careers location page; site tour describes Forest as radar and electronic warfare production/testing."
RTX,Raytheon,US,CA,Goleta,,Raytheon Goleta,careers_location,official_location_page,"https://careers.rtx.com/global/en/raytheon-goleta-ca-location",2026-07-10,,Y,"Official Raytheon careers location page; site tour describes Goleta as an electronic warfare systems location."
RTX,Raytheon,US,AL,Huntsville,,Raytheon Huntsville,careers_location,official_location_page,"https://careers.rtx.com/global/en/raytheon-huntsville%2C-al-location",2026-07-10,,Y,"Official Raytheon careers location page; site tour describes Huntsville as a key SM-6 final assembly and testing site."
RTX,Raytheon,US,TX,McKinney,North Texas,Raytheon North Texas / McKinney,careers_location,official_location_page,"https://careers.rtx.com/global/en/raytheon-north-texas-location",2026-07-10,,Y,"Official Raytheon North Texas careers page; site tour lists McKinney, TX for sensors and integrated air and missile defense systems."
RTX,Raytheon,US,RI,Portsmouth,,Raytheon Portsmouth,careers_location,official_site_tour,"https://careers.rtx.com/global/en/raytheon-sites-virtual-tour",2026-07-10,,Y,"Official Raytheon site tour lists Portsmouth, RI for undersea warfare systems."
RTX,Raytheon,US,IN,Fort Wayne,,Raytheon Fort Wayne,careers_location,official_location_page,"https://careers.rtx.com/global/en/raytheon-fort-wayne-location",2026-07-10,,Y,"Official Raytheon careers location page; Raytheon software engineering page lists Indiana as a hiring location."
RTX,Raytheon,US,FL,Largo,,Raytheon Largo,careers_location,official_location_page,"https://careers.rtx.com/global/en/raytheon-largo-location",2026-07-10,,Y,"Official Raytheon careers location page for Largo, FL."
RTX,Raytheon,US,PA,State College,,Raytheon State College,careers_location,official_location_page,"https://careers.rtx.com/global/en/raytheon-state-college%2C-pa-location",2026-07-10,,Y,"Official Raytheon careers location page; Raytheon software engineering page lists State College, PA as a hiring location."
